record_id,Reference,,,,,,,
Dowell_2016,"Dowell, D., Kun, Z., Noonan, R. K., & Hockenberry, J. M. (2016). Mandatory Provider Review And Pain Clinic Laws Reduce The Amounts Of Opioids Prescribed And Overdose Death Rates. Health Affairs, 35(10), 1876–1883.",,,,,,,
Dow_2019,"Dow, W. H., Godoy, A., A., L. C., & Reich, M. (2018). Can Economic Policies Reduce Deaths of Despair? (National Bureau of Economic Research Working Paper Series). National Bureau of Economic Research. https://doi.org/10.3386/w25787",,,,,,,
Dray_2008,"Dray, A., Mazerolle, L., Perez, P., & Ritter, A. (2008). Policing Australia’s “heroin drought”: Using an agent-based model to simulate alternative outcomes. Journal of Experimental Criminology, 4(3), 267–287.",,,,,,,
Driscoll_2017,"Driscoll, D. T. (2017). Solving the Problem of Problem-Solving Justice: Rebalancing Federal Court Investment in Reentry and Pretrial Diversion Programs Notes. Minn. L. Rev., 102, 1381–1412.",,,,,,,
Drucker_2013,"Drucker, E. (2012). Drug Law, Mass Incarceration, and Public Health Symposium: A Step Forward: Creating a Just Drug Policy for the United States. Oregon Law Review, 91, 1097–1128.",,,,,,,
Drug Policy Alliance_2017,Drug Policy Alliance. (2017). An Overdose Death Is Not Murder: Why Drug-Induced Homicide Laws Are Counterproductive and Inhumane. Drug Policy Alliance.,,,,,,,
Dublin_2019,"Dublin, S., Walker, R. L., Shortreed, S. M., Ludman, E. J., Sherman, K. J., Hansen, R. N., Thakral, M., Saunders, K., Parchman, M. L., & Von Korff, M. (2019). Impact of initiatives to reduce prescription opioid risks on medically attended injuries in people using chronic opioid therapy. Pharmacoepidemiol Drug Saf, 28(1), 90–96. https://doi.org/10.1002/pds.4678",,,,,,,
Ducharme_2008,"Ducharme, L. J., & Abraham, A. J. (2008). State policy influence on the early diffusion of buprenorphine in community treatment programs. Substance Abuse Treatment, Prevention, and Policy, 3(1), 17. https://doi.org/10.1186/1747-597X-3-17",,,,,,,
Duppong_2019,"Duppong, T., Amato, A., Silverman, M., Eskin, B., & Allegra, J. R. (2020). Emergency department opioid prescriptions decreased after legislation in New Jersey. The American Journal of Emergency Medicine, 38(6), 1134-1136. https://doi.org/10.1016/j.ajem.2019.158394",,,,,,,
Durning_2005,"Durning, K. (2004). No Pain No Gain?!Who Will Make the Greatest Sacrifices in Curbing Opioid Analgesic Diversion and Abuse? Kentucky Law Journal, 93(1), 199–241.",,,,,,,
Dutko_2010,"Dutko, A. (2009). Florida’s Fight against Prescription Drug Abuse: Prescription Drug Monitoring Program Health Law Issue: Notes and Comments. Nova L. Rev., 34, 739–764.",,,,,,,
Dzotsenidze_2018,"Dzotsenidze, P., Lekashvili, T., Chikhladze, N., Jorbenadze, M., Abesadze, I., & Kordzaia, D. (2018). Impact of ambiguous and restrictive regulations on opioid-prescribing practice in Georgia. Journal of Pain & Symptom Management, 29, 29.",,,,,,,
ECDC_2013,"Control, E. C. for D. P. and, & Union, P. O. of the E. (2013b). Prisoners: Monitoring implementation of the Dublin Declaration on Partnership to Fight HIV/AIDS in Europe and Central Asia: 2012 progress report. https://publications.europa.eu/en/publication-detail/-/publication/053e1665-721f-4929-9700-62c96fde157d/language-en/format-PDF",,,,,,,
ECDC_2015,"Control, E. C. for D. P. and, & Union, P. O. of the E. (2013a). People who inject drugs: Monitoring implementation of the Dublin Declaration on Partnership to Fight HIV/AIDS in Europe and Central Asia: 2012 progress report. https://publications.europa.eu/en/publication-detail/-/publication/6c6ced7d-c1b7-4350-8bf0-eada98cc3827/language-en/format-PDF",,,,,,,
Edwards_2000,"Edwards, T. (2000). The Theory and Practice of Compulsory Drug Treatment in the Criminal Justice System: The Wisconsin Experiment. Wisconsin Law Review, 2000, 283–368.",,,,,,,
Egan_2004,"Egan, K. (2014). The Overdose Prevention Act: A Small Step when New Jersey Needs a Giant Leap. Rutgers Journal of Law and Public Policy, 12, 1–37.",,,,,,,
EMCDDA_2002,European Monitoring Centre for Drugs and Addiction(2002). Annual report on the state of the drugs problem in the European Union and Norway 2002. https://publications.europa.eu/en/publication-detail/-/publication/031eaff7-c299-43f5-94ff-feeec70fecdf/language-en/format-PDF,,,,,,,
EMCDDA_2003,European Monitoring Centre for Drugs and Drug Addiction. (2003). 2003 Annual report on the state of the drugs problem in the European Union and Norway. https://publications.europa.eu/en/publication-detail/-/publication/2642fc04-cba8-4a6d-98c2-2264e42f433a/language-en/format-PDF,,,,,,,
EMCDDA_2005,European Monitoring Centre for Drugs and Drug Addiction. (2005). Annual report 2005 Selected issues. https://publications.europa.eu/en/publication-detail/-/publication/4b21f37d-e6b6-400f-9b90-cef200344a99/language-en/format-PDF,,,,,,,
EMCDDA_2015,European Monitoring Centre for Drugs and Drug Addiction. . (2015a). Alternatives to punishment for drug-using offenders. https://publications.europa.eu/en/publication-detail/-/publication/8c963225-da5f-4d64-852b-6cdebc0d5f68/language-en/format-PDF,,,,,,,
EMCDDA_2015_2,European Monitoring Centre for Drugs and Drug Addiction. . (2015b). Drugs policy and the city in Europe. https://publications.europa.eu/en/publication-detail/-/publication/398fc8e3-a257-4344-ae5e-a1537349827e/language-en/format-PDF,,,,,,,
Erfanian_2019,"Erfanian, E., Grossman, D., & Collins, A. R. (2019). The Impact of Naloxone Access Laws on Opioid Overdose Deaths in the U.S. The Review of Regional Studies, 49(1), 45–72. ABI/INFORM Collection.",,,,,,,
Erickson_2005,"Erickson, P. G., & Callaghan, R. C. (2005). The probable impacts of the removal of the addiction disability benefit in Ontario. Can J Commun Ment Health, 24(2), 99–108. https://doi.org/10.7870/cjcmh-2005-0017",,,,,,,
Ernst_2014,"Ernst, B. (2014). A Simple Concept in a Complicated World: Actual Causation, Mixed-Drug Deaths and the Eighth Circuit’s Opinion in United States v. Burrage. Boston College Law Review, 55(6). https://lawdigitalcommons.bc.edu/bclr/vol55/iss6/2/",,,,,,,
Espelt_2017,"Espelt, A., Villalbi, J. R., Bosque-Prous, M., Pares-Badell, O., Mari-Dell’Olmo, M., & Brugal, M. T. (2017). The impact of harm reduction programs and police interventions on the number of syringes collected from public spaces. A time series analysis in Barcelona, 2004-2014. Int J Drug Policy, 50, 11–18. https://doi.org/10.1016/j.drugpo.2017.07.033",,,,,,,
Ettner_2016,"Ettner, S. L., J, M. H., Thalmayer, A., Ong, M. K., Xu, H., Bresolin, M. J., Wells, K. B., Tseng, C. H., & Azocar, F. (2016). The Mental Health Parity and Addiction Equity Act evaluation study: Impact on specialty behavioral health utilization and expenditures among “carve-out” enrollees. J Health Econ, 50, 131–143. https://doi.org/10.1016/j.jhealeco.2016.09.009",,,,,,,
Evans_2014,"Evans, E., Li, L., Urada, D., & Anglin, M. D. (2014). Comparative Effectiveness of California’s Proposition 36 and Drug Court Programs Before and After Propensity Score Matching. Crime Delinq, 60(6), 909–938. https://doi.org/10.1177/0011128710382342",,,,,,,
Evans_2018,"Evans, W. N., Lieber, E., & Power, P. (2018). How the Reformulation of OxyContin Ignited the Heroin Epidemic. National Bureau of Economic Research Working Paper Series. https://doi.org/10.3386/w24475",,,,,,,
Fairbarin_2015,"Fairbairn, N., Hayashi, K., Ti, L., Kaplan, K., Suwannawong, P., Wood, E., & Kerr, T. (2015). Compulsory drug detention and injection drug use cessation and relapse in Bangkok, Thailand. Drug & Alcohol Review, 34(1), 74–81.",,,,,,,
Falcato_2001,"Falcato, L., Stohler, R., Farl, D.-M., M, K., Eichenberger, A., Eich, D., & Rossler, W. (2001). Closure of an open drug scene—A case register-based analysis of the impact on the demand for methadone maintenance treatment. Addiction, 96(4), 623–628.",,,,,,,
Farrell_2005,"Farrell, G., & Thorne, J. (2005). Where have all the flowers gone?: Evaluation of the Taliban crackdown against opium poppy cultivation in Afghanistan. International Journal of Drug Policy, 16(2), 81–91. https://doi.org/10.1016/j.drugpo.2004.07.007",,,,,,,
Faryar_2017,"Faryar, K. A., Freeman, C. L., Persaud, A. K., Furmanek, S. P., Guinn, B. E., Mattingly, W. A., Wiemken, T. L., Buckner, K. A., & Huecker, M. R. (2017). The Effects of Kentucky’s Comprehensive Opioid Legislation on Patients Presenting with Prescription Opioid or Heroin Abuse to One Urban Emergency Department. Journal of Emergency Medicine, 53(6), 805–814.",,,,,,,
Faryar_2019,"Faryar, K. A., Webb, A. N., Bhandari, B., Price, T. G., & Bosse, G. M. (2019). Trending gabapentin exposures in Kentucky after legislation requiring use of the state prescription drug monitoring program for all opioid prescriptions. Clinical Toxicology, 57(6), 398-403. https://doi.org/10.1080/15563650.2018.1538518",,,,,,,
Feder_2017,"Feder, K. A., Mojtabai, R., Krawczyk, N., Young, A. S., Kealhofer, M., Tormohlen, K. N., & Crum, R. M. (2017). Trends in insurance coverage and treatment among persons with opioid use disorders following the Affordable Care Act. Drug Alcohol Depend, 179, 271–274. https://doi.org/10.1016/j.drugalcdep.2017.07.015",,,,,,,
Felix_2017,"Felix, S., & Portugal, P. (2017). Drug decriminalization and the price of illicit drugs. International Journal of Drug Policy, 39, 121–129.",,,,,,,
Felix_2017a,"Félix, S., Portugal, P., & Tavares, A. (2017). Going after the addiction, not the addicted: The impact of drug decriminalization in Portugal. IZA Institute of Labor Economics Discussion Paper Series.",,,,,,,
Fernandez_2018,"Fernandez, J., Thornton, J. D., Rege, S., Lewing, B., Bapat, S., Xu, Q., & Fleming, M. L. (2018). Prescribers’ perceptions on the impact of hydrocodone rescheduling on geriatric pain management: A qualitative study. J Opioid Manag, 14(5), 317–326. https://doi.org/10.5055/jom.2018.0464",,,,,,,
Ferrara_2012,"Ferrara, M. M. (2012). The Disparate Treatment of Addiction-Assistance Medications and Opiate Pain Medications under the Law: Permitting the Proliferation of Opiates and Limiting Access to Treatment Comment. Seton Hall L. Rev., 42, 741–768.",,,,,,,
Filies-Away_2014,"Flies-Away, J. T., & Garrow, C. E. (2013). Healing to Wellness Courts: Therapeutic Jurisprudence + Indian Tribes and Human Rights Accountability. Michigan State Law Review, 2013, 403–450.",,,,,,,
Fink_2018,"Fink, D. S., Schleimer, J. P., Sarvet, A., Grover, K. K., Delcher, C., Castillo-Carniglia, A., Kim, J. H., Rivera-Aguirre, A. E., Henry, S. G., Martins, S. S., & Cerda, M. (2018). Association Between Prescription Drug Monitoring Programs and Nonfatal and Fatal Drug Overdoses: A Systematic Review. Ann Intern Med, 168(11), 783–790. https://doi.org/10.7326/m17-3074",,,,,,,
Finley_2017,"Finley, E. P., Garcia, A., Rosen, K., McGeary, D., Pugh, M. J., & Potter, J. S. (2017). Evaluating the impact of prescription drug monitoring program implementation: A scoping review. BMC Health Services Research, 17(1), 420.",,,,,,,
Fiscella_2004,"Fiscella, K., Pless, N., Meldrum, S., & Fiscella, P. (2004). Benign neglect or neglected abuse: Drug and alcohol withdrawal in U.S. jails. Journal of Law, Medicine & Ethics, 32(1), 129–136.",,,,,,,
Fischer_2013,"Fischer, B., Ialomiteanu, A., Kurdyak, P., Mann, R. E., & Rehm, J. (2013). Reductions in non-medical prescription opioid use among adults in Ontario, Canada: Are recent policy interventions working? Substance Abuse Treatment, Prevention, & Policy, 8, 7.",,,,,,,
Fisher_2012,"Fisher, J. E., Zhang, Y., Sketris, I., Johnston, G., & Burge, F. (2012). The effect of an educational intervention on meperidine use in Nova Scotia, Canada: A time series analysis. Pharmacoepidemiol Drug Saf, 21(2), 177–183. https://doi.org/10.1002/pds.2259",,,,,,,
Fishman_2004,"Fishman, S. M., Papazian, J. S., Gonzalez, S., Riches, P. S., & Gilson, A. (2004). Regulating opioid prescribing through prescription monitoring programs: Balancing drug diversion and treatment of pain. Pain Medicine, 5(3), 309–324.",,,,,,,
Fitzgerald_2004,"Fitzgerald, J., Dovey, K., Dietze, P., & Rumbold, G. (2004). Health outcomes and quasi-supervised settings for street injecting drug use. International Journal of Drug Policy, 15(4), 247–257.",,,,,,,
Fitzpatrick_2012,"Fitzpatrick, E. (2011). Cochran v. Commonwealth: Revising Whether Kentucky Should Charge, Commit, or Cure Pregnant Substance Abusers Note. U. Louisville L. Rev., 50, 551–576.",,,,,,,
Fleming_2019,"Fleming, M. L., Driver, L., Sansgiry, S. S., Abughosh, S. M., Wanat, M. A., Varisco, T. J., Pickard, T., Reeve, K., & Todd, K. H. (2019). Drug Enforcement Administration Rescheduling of Hydrocodone Combination Products Is Associated With Changes in Physician Pain Management Prescribing Preferences. J Pain Palliat Care Pharmacother, 33(1–2), 22–31. https://doi.org/10.1080/15360288.2019.1615027",,,,,,,
Fornili_2017,"Fornili, K. S., & Fogger, S. A. (2017). Nurse Practitioner Prescriptive Authority for Buprenorphine: From DATA 2000 to CARA 2016. Journal of Addictions Nursing, 28(1), 43–48.",,,,,,,
Franklin_2012,"Franklin, G. M., Mai, J., Turner, J., Sullivan, M., Wickizer, T., & Fulton-Kehoe, D. (2012). Bending the prescription opioid dosing and mortality curves: Impact of the Washington State opioid dosing guideline. American Journal of Industrial Medicine, 55(4), 325–331.",,,,,,,
Freeman_2005,"Freeman, K., Jones, C. G., Weatherburn, D. J., Rutter, S., Spooner, C. J., & Donnelly, N. (2005). The impact of the Sydney Medically Supervised Injecting Centre (MSIC) on crime. Drug & Alcohol Review, 24(2), 173–184.",,,,,,,
Freeman_2015,"Freeman, Patricia R., Goodin, A., Troske, S., & Talbert, J. (2015). Kentucky House Bill 1 Impact Evaluation. Institute for Pharmaceutical Outcomes & Policy.",,,,,,,
Freeman_2018,"Freeman, P. R., Hankosky, E. R., Lofwall, M. R., & Talbert, J. C. (2018). The changing landscape of naloxone availability in the United States, 2011—2017. Drug Alcohol Depend, 191, 361–364. https://doi.org/10.1016/j.drugalcdep.2018.07.017",,,,,,,
Friedman_2006,"Friedman, S. R., Cooper, H. L., Tempalski, B., Keem, M., Friedman, R., Flom, P. L., & Des Jarlais, D. C. (2006). Relationships of deterrence and law enforcement to drug-related harms among drug injectors in US metropolitan areas. AIDS, 20(1), 93–99.",,,,,,,
Friedman_2017,"Friedman, S., Xu, H., Harwood, J. M., Azocar, F., Hurley, B., & Ettner, S. L. (2017). The Mental Health Parity and Addiction Equity Act evaluation study: Impact on specialty behavioral healthcare utilization and spending among enrollees with substance use disorders. J Subst Abuse Treat, 80, 67–78. https://doi.org/10.1016/j.jsat.2017.06.006",,,,,,,
Friedman_2018,"Friedman, S. A., Azocar, F., Xu, H., & Ettner, S. L. (2018). The Mental Health Parity and Addiction Equity Act (MHPAEA) evaluation study: Did parity differentially affect substance use disorder and mental health benefits offered by behavioral healthcare carve-out and carve-in plans? Drug Alcohol Depend, 190, 151–158. https://doi.org/10.1016/j.drugalcdep.2018.06.008",,,,,,,
Furlan_2018,"Furlan, A. D., Carnide, N., Irvin, E., Van Eerd, D., Munhall, C., Kim, J., Li, C. M. F., Hamad, A., Mahood, Q., & MacDonald, S. (2018). A systematic review of strategies to improve appropriate use of opioids and to reduce opioid use disorder and deaths from prescription opioids. Canadian Journal of Pain, 2(1), 218–235. https://doi.org/10.1080/24740527.2018.1479842",,,,,,,
Fu_2013,"Fu, J. J., Zaller, N. D., Yokell, M. A., Bazazi, A. R., & Rich, J. D. (2013). Forced withdrawal from methadone maintenance therapy in criminal justice settings: A critical treatment barrier in the United States. Journal of Substance Abuse Treatment, 44(5), 502–505.",,,,,,,
Garcia_2014,"Garcia, M. M., Angelini, M. C., Thomas, T., Lenz, K., & Jeffrey, P. (2014). Implementation of an opioid management initiative by a state Medicaid program. Journal of Managed Care & Specialty Pharmacy, 20(5), 447–454.",,,,,,,
Garcia_2016,"Garcia, M. C., Dodek, A. B., Kowalski, T., Fallon, J., Lee, S. H., Iademarco, M. F., Auerbach, J., & Bohm, M. K. (2016). Declines in Opioid Prescribing After a Private Insurer Policy Change—Massachusetts, 2011-2015. MMWR Morb Mortal Wkly Rep, 65(41), 1125–1131. https://doi.org/10.15585/mmwr.mm6541a1",,,,,,,
Garcia_2019,"Garcia, M. M., Lenz, K., Greenwood, B. C., Angelini, M. C., Thompson, T., Clements, K. M., Mauro, R. P., & Jeffrey, P. L. (2019). Impact of Sequential Opioid Dose Reduction Interventions in a State Medicaid Program Between 2002 and 2017. J Pain, 20(8), 876–884. https://doi.org/10.1016/j.jpain.2019.01.008",,,,,,,
Garg_2013,"Garg, R. K., Fulton-Kehoe, D., Turner, J. A., Bauer, A. M., Wickizer, T., Sullivan, M. D., & Franklin, G. M. (2013). Changes in opioid prescribing for Washington workers’ compensation claimants after implementation of an opioid dosing guideline for chronic noncancer pain: 2004 to 2010. J Pain, 14(12), 1620–1628. https://doi.org/10.1016/j.jpain.2013.08.001",,,,,,,
Garin_2018,"Garin, J., Pohl, V., & Smith, R. A. (2018). The effect of medical cannabis dispensaries on opioid and heroin overdose mortality (SSRN Scholarly Paper ID 3270101). Social Science Research Network. https://papers.ssrn.com/abstract=3270101",,,,,,,
Gaubert_2009,"Gaubert, S., Vie, M., Damase-Michel, C., Pathak, A., & Montastruc, J. L. (2009). Dextropropoxyphene withdrawal from a French university hospital: Impact on analgesic drug consumption. Fundam Clin Pharmacol, 23(2), 247–252. https://doi.org/10.1111/j.1472-8206.2008.00661.x",,,,,,,
Gau_2017,"Gau, J. M., & Brooke, E. J. (2017). An Assessment of the Impact of a Multipronged Approach to Reducing Problematic Pain Clinics in Florida. Journal of Drug Issues, 47(2), 185–204.",,,,,,,
Gertner_2018,"Gertner, A. K., Domino, M. E., & Davis, C. S. (2018). Do naloxone access laws increase outpatient naloxone prescriptions? Evidence from Medicaid. Drug Alcohol Depend, 190, 37–41. https://doi.org/10.1016/j.drugalcdep.2018.05.014",,,,,,,
Ghobadi_2018,"Ghobadi, A., Van Winkle, P. J., Menchine, M., Chen, Q., Huang, B. Z., & Sharp, A. L. (2018). Reduction of Parenteral Opioid Use in Community Emergency Departments Following Implementation of Treatment Guidelines [https://doi.org/10.1111/acem.13395]. Academic Emergency Medicine, 25(8), 901-910. https://doi.org/https://doi.org/10.1111/acem.13395",,,,,,,
Gillespie_2017,"Gillespie, A. M. (2017). Prosecuting Women Based on Drug Abuse during Pregnancy, Protecting Unborn Children, and Examining the Prosecutorial Standards in the Commonwealth of Virginia and How those Standards Apply. Appalachian Journal of Law, 17(1), 151.",,,,,,,
Gilson_2012,"Gilson, A. M., Fishman, S. M., Wilsey, B. L., Casamalhuapa, C., & Baxi, H. (2012). Time series analysis of California’s prescription monitoring program: Impact on prescribing and multiple provider episodes. J Pain, 13(2), 103–111. https://doi.org/10.1016/j.jpain.2011.09.006",,,,,,,
Giuntella_2018,"Gihleb, R., Giuntella, O., & Zhang, N. (2018). The Effects of Mandatory Prescription Drug Monitoring Programs on Foster Care Admissions. IZA Discussion Paper Series. https://www.iza.org/publications/dp/11470/the-effects-of-mandatory-prescription-drug-monitoring-programs-on-foster-care-admissions",,,,,,,
Goldberg_2005,"Goldberg, K., Simel, D., & Oddone, E. (2005). Effect of an Opioid Management System on Opioid Prescribing and Unscheduled Visits in a Large Primary Care Clinic. Journal of Clinical Outcomes Management, 12.",,,,,,,
Golichenko_2013,"Golichenko, M., & Sarang, A. (2013). Atmospheric pressure: Russian drug policy as a driver for violations of the UN Convention against Torture and the International Covenant on Economic, Social and Cultural Rights. Health Hum Rights, 15(1), E135-43.",,,,,,,
Gomes_2012,"Gomes, T., Paterson, J. M., Juurlink, D. N., Dhalla, I. A., & Mamdani, M. M. (2012). Reformulation of controlled-release oxycodone and pharmacy dispensing patterns near the US-Canada border. Open Medicine?: A Peer-Reviewed, Independent, Open-Access Journal, 6(4), e141-5.",,,,,,,
Gomes_2014,"Gomes, T., Jain, S., Paterson, J. M., Sketris, I., Caetano, P., & Henry, D. (2018). Trends and uptake of new formulations of controlled-release oxycodone in Canada. Pharmacoepidemiol Drug Saf, 27(5), 520–525. https://doi.org/10.1002/pds.4390",,,,,,,
Gomes_2015,"Gomes, T., Paterson, J. M., Mukati, M., & Henry, D. (2015). Retrospective analysis of trends in dispensing long-acting non-tamper-resistant oxycodone near the Canada-United States border. CMAJ Open, 3(2), E231-5. https://doi.org/10.9778/cmajo.20140103",,,,,,,
Gomes_2017,"Gomes, T., Mastorakos, A., Paterson, J. M., Sketris, I., Caetano, P., Greaves, S., & Henry, D. (2017). Changes in the dispensing of opioid medications in Canada following the introduction of a tamper-deterrent formulation of long-acting oxycodone: A time series analysis. CMAJ Open, 5(4), E800-e807. https://doi.org/10.9778/cmajo.20170104",,,,,,,
Gomes_2018,"Gomes, Tara, Juurlink, D., Zhan, Y., Camacho, X., Paterson, J. M., Singh, S., Dhalla, I., Sproule, B., & Mamdani, M. (2014). Impact of legislation and a prescription monitoring program on the prevalence of potentially inappropriate prescriptions for monitored drugs in Ontario: A time series analysis. CMAJ Open, 2(4), E256–E261.",,,,,,,
Goncalves_2015,"Goncalves, R., Lourenco, A., & Silva, S. N. (2015). A social cost perspective in the wake of the Portuguese strategy for the fight against drugs. Int J Drug Policy, 26(2), 199–209. https://doi.org/10.1016/j.drugpo.2014.08.017",,,,,,,
Gonzalez_2012,"Gonzalez, A. M., 3rd, & Kolbasovsky, A. (2012). Impact of a managed controlled-opioid prescription monitoring program on care coordination. Am J Manag Care, 18(9), 516–524.",,,,,,,
Goodman_2008,"Goodman, K. student author. (2008). Prosecution of Physicians as Drug Traffickers: The United States’ Failed Protection of Legitimate Opioid Prescription Under the Controlled Substances Act and South Australia’s Alternative Regulatory Approach. Columbia Journal of Transnational Law, 47(1), 210–244.",,,,,,,
Goodwin_2014,"Goodwin, M. (2014). Fetal Protection Laws: Moral Panic and the New Constitutional Battlefront. California Law Review, 102, 781–876.",,,,,,,
Gordon_2016,"Gordon, A., Gordon, A., & J, ra. (2016). Does It Fit—A Look at Addiction, Buprenorphine and the Legislation Trying to Make It Work. Journal of Health & Biomedical Law, 12, 1–28.",,,,,,,
Graddy_2017,"Graddy, R., & Rastegar, D. A. (2017). Impact of a Mandated Change in Buprenorphine Formulation. Journal of Addiction Medicine, 11(6), 435–439.",,,,,,,
Grant_2017,"Grant, T. M., Graham, J. C., Carlini, B. H., Ernst, C. C., & Brown, N. N. (2018). Use of Marijuana and Other Substances Among Pregnant and Parenting Women With Substance Use Disorders: Changes in Washington State After Marijuana Legalization. Journal of Studies on Alcohol & Drugs, 79(1), 88–95.",,,,,,,
Grecu_2019,"Grecu, A. M., Dave, D. M., & Saffer, H. (2019). Mandatory Access Prescription Drug Monitoring Programs and Prescription Drug Abuse. Journal of Policy Analysis and Management, 38(1), 181–209. https://doi.org/10.1002/pam.22098",,,,,,,
Greenwald_2009,"Greenwald, G. (2009). Drug Decriminalization in Portugal: Lessons for Creating Fair and Successful Drug Policies. CATO Institute. https://www.cato.org/sites/cato.org/files/pubs/pdf/greenwald_whitepaper.pdf",,,,,,,
Green_2006,"Green, B. L., Rockhill, A., & Furrer, C. (2006). Understanding patterns of substance abuse treatment for women involved with child welfare: The influence of the Adoption and Safe Families Act (ASFA). American Journal of Drug and Alcohol Abuse, 32(2), 149–176.",,,,,,,
Green_2012,"Green, T. C., Mann, M. R., Bowman, S. E., Zaller, N., Soto, X., Gadea, J., Cordy, C., Kelly, P., & Friedmann, P. D. (2012). How Does Use of a Prescription Monitoring Program Change Medical Practice? Pain Medicine, 13(10), 1314–1323.",,,,,,,
Grogan_2016,"Grogan, C. M., Andrews, C., Abraham, A., Humphreys, K., Pollack, H. A., Smith, B. T., & Friedmann, P. D. (2016). Survey Highlights Differences In Medicaid Coverage For Substance Use Treatment And Opioid Use Disorder Medications. Health Aff (Millwood), 35(12), 2289–2296. https://doi.org/10.1377/hlthaff.2016.0623",,,,,,,
Gutheil_2016,"Gutheil, M., Liger, Q., Heetman, A., Eager, J., & Bourgeon, S. (2016). A review and assessment of EU drug policy. European Parliament. https://publications.europa.eu/en/publication-detail/-/publication/be1c6a73-c03d-11e6-a6db-01aa75ed71a1/language-en/format-PDF",,,,,,,
Habbouche_2018,"Habbouche, J., Lee, J., Steiger, R., Dupree, J. M., Khalsa, C., Englesbe, M., Brummett, C., & Waljee, J. (2018). Association of Hydrocodone Schedule Change With Opioid Prescriptions Following Surgery. JAMA Surg, 153(12), 1111–1119. https://doi.org/10.1001/jamasurg.2018.2651",,,,,,,
Haegerich_2014,"Haegerich, T. M., Paulozzi, L. J., Manns, B. J., & Jones, C. M. (2014). What we know, and don’t know, about the impact of state policy and systems-level interventions on prescription drug overdose. Drug & Alcohol Dependence, 145, 34–47.",,,,,,,
Haegerich_2019,"Haegerich, T. M., Jones, C. M., Cote, P. O., Robinson, A., & Ross, L. (2019). Evidence for state, community and systems-level prevention strategies to address the opioid crisis. Drug Alcohol Depend, 204, 107563. https://doi.org/10.1016/j.drugalcdep.2019.107563",,,,,,,
Haffajee_2018,"Haffajee, R. L., Mello, M. M., Zhang, F., Zaslavsky, A. M., Larochelle, M. R., & Wharam, J. F. (2018). Four States With Robust Prescription Drug Monitoring Programs Reduced Opioid Dosages. Health Aff (Millwood), 37(6), 964–974. https://doi.org/10.1377/hlthaff.2017.1321",,,,,,,
Hammett_2014,"Hammett, T. M., Phan, S., Gaggin, J., Case, P., Zaller, N., Lutnick, A., Kral, A. H., Fedorova, E. V., Heimer, R., Small, W., Pollini, R., Beletsky, L., Latkin, C., & Des Jarlais, D. C. (2014). Pharmacies as providers of expanded health services for people who inject drugs: A review of laws, policies, and barriers in six countries. BMC Health Services Research, 14, 261.",,,,,,,
Hampton_2011,"Hampton, A. S., Conner, B. T., Albert, D., Anglin, M. D., Urada, D., & Longshore, D. (2011). Pathways to treatment retention for individuals legally coerced to substance use treatment: The interaction of hope and treatment motivation. Drug and Alcohol Dependence, 118(2), 400–407.",,,,,,,
Hansen_2017,"Hansen, R. N., Walker, R. L., Shortreed, S. M., Dublin, S., Saunders, K., Ludman, E. J., & Von Korff, M. (2016). Impact of an opioid risk reduction initiative on motor vehicle crash risk among chronic opioid therapy patients. Pharmacoepidemiology and Drug Safety, 32nd International Conference on Pharmacoepidemiology and Therapeutic Risk Management. Ireland. 25 (Supplement 3) (pp 312).",,,,,,,
Hardjasa_2018,"Hardjasa, C. (2008). Liberty or Death: Federalism, the DEA, and the War on the Suffering Note. Geo. J.L. & Pub. Pol’y, 6, 669–692.",,,,,,,
Harrison_2019,"Harrison, M. L., & Walsh, T. L. (2019). The effect of a more strict 2014 DEA schedule designation for hydrocodone products on opioid prescription rates in the United States. Clin Toxicol (Phila), 57(11), 1064–1072. https://doi.org/10.1080/15563650.2019.1574976",,,,,,,
Hartung_2004,"Hartung, D. M., Touchette, D. R., Ketchum, K. L., Haxby, D. G., & Goldberg, B. W. (2004). Effects of a prior-authorization policy for celecoxib on medical service and prescription drug use in a managed care Medicaid population. Clin Ther, 26(9), 1518–1532. https://doi.org/10.1016/j.clinthera.2004.09.013",,,,,,,
Hartung_2017,"Hartung, D. M., Kim, H., Ahmed, S. M., Middleton, L., Keast, S., Deyo, R. A., Zhang, K., & McConnell, K. J. (2018). Effect of a high dosage opioid prior authorization policy on prescription opioid use, misuse, and overdose outcomes. Substance abuse, 39(2), 239–246. https://doi.org/10.1080/08897077.2017.1389798",,,,,,,
Hartung_2018,"Hartung, D. M., Alley, L., Leichtling, G., Korthuis, P. T., & Hildebran, C. (2018). A statewide effort to reduce high-dose opioid prescribing through coordinated care organizations. Addict Behav, 86, 32–39. https://doi.org/10.1016/j.addbeh.2018.04.020",,,,,,,
Havens_2014,"Havens, J. R., Leukefeld, C. G., DeVeaugh-Geiss, A. M., Coplan, P., & Chilcoat, H. D. (2014). The impact of a reformulation of extended-release oxycodone designed to deter abuse in a sample of prescription opioid abusers. Drug Alcohol Depend, 139, 9–17. https://doi.org/10.1016/j.drugalcdep.2014.02.018",,,,,,,
