"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
impact_non_pres_use,data_extraction_form,,checkbox,"What is the impact of the policy on illicit drug use?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcomes_non_pres(2)] = '1'",,,,,,
impact_non_pres_other,data_extraction_form,,checkbox,"What is the impact of the policy on the other non-prescription drug outcome?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcomes_non_pres(999)] = '1'",,,,,,
outcomes_treatment,data_extraction_form,,checkbox,"Specify the specific substance use treatment outcome(s) assessed in the article.","1, Access | 2, Treatment for opioid agonist/antagonist/substitution treatment | 999, Other facilities | 998, Other -2 | 997, Other -3",,,,,,"[outcome_type(3)] = '1'",,,,,,
outcomes_treatment_other,data_extraction_form,,text,"What other substance use treatment outcomes?",,,,,,,"[outcomes_treatment(999)] = '1'",,,,,,
outcomes_treatment_other_2,data_extraction_form,,text,"What other substance use treatment outcomes?",,,,,,,"[outcomes_treatment(998)] = '1'",,,,,,
outcomes_treatment_other_3,data_extraction_form,,text,"What other substance use treatment outcomes?",,,,,,,"[outcomes_treatment(997)] = '1'",,,,,,
impact_access,data_extraction_form,,checkbox,"What is the impact of the policy on access?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcomes_treatment(1)] = '1'",,,,,,
impact_tfo,data_extraction_form,,checkbox,"What is the impact of the policy on treatment for OAT/ OST?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcomes_treatment(2)] = '1'",,,,,,
impact_of,data_extraction_form,,checkbox,"What is the impact of the policy on other facilities?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcomes_treatment(999)] = '1'",,,,,,
impact_of_2,data_extraction_form,,checkbox,"What is the impact of the policy on other facilities?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcomes_treatment(998)] = '1'",,,,,,
impact_of_3,data_extraction_form,,checkbox,"What is the impact of the policy on other facilities?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcomes_treatment(997)] = '1'",,,,,,
impact_overdose,data_extraction_form,,checkbox,"What is the impact of the policy on overdose rates?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_type(4)] = '1'",,,,,,
impact_crim,data_extraction_form,,checkbox,"What is the impact of the policy on crime activity?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_type(5)] = '1'",,,,,,
outcome_infectious,data_extraction_form,,checkbox,"Specify the specific infectious disease rates outcome(s) assessed in the article.","1, HIV | 2, HepC | 999, Other-1 | 998, Other-2 | 997, Other-3",,,,,,"[outcome_type(6)] = '1'",,,,,,
outcome_infectious_other,data_extraction_form,,text,"What other infection disease outcome",,,,,,,"[outcome_infectious(999)] = '1'",,,,,,
outcome_infectious_other_2,data_extraction_form,,text,"What other infection disease outcome",,,,,,,"[outcome_infectious(998)] = '1'",,,,,,
outcome_infectious_other_3,data_extraction_form,,text,"What other infection disease outcome",,,,,,,"[outcome_infectious(997)] = '1'",,,,,,
impact_hiv,data_extraction_form,,checkbox,"What is the impact of the policy on HIV rates?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_infectious(1)] = '1'",,,,,,
impact_hepc,data_extraction_form,,checkbox,"What is the impact of the policy on Hep C rates?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_infectious(2)] = '1'",,,,,,
impact_infect_other,data_extraction_form,,checkbox,"What is the impact of the policy on the other infectious disease outcome?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_infectious(999)] = '1'",,,,,,
outcome_illegal,data_extraction_form,,checkbox,"Specify the specific Illegal drug use behaviors and harms assessed in this article?","1, injection drug use | 2, drug-use related injuries | 999, Other-1 | 998, Other-2 | 997, Other-3",,,,,,"[outcome_type(7)] = '1'",,,,,,
outcome_illegal_other,data_extraction_form,,text,"What other illegal drug behaviors or harms?",,,,,,,"[outcome_illegal(999)] = '1'",,,,,,
outcome_illegal_other_2,data_extraction_form,,text,"What other illegal drug behaviors or harms?",,,,,,,"[outcome_illegal(998)] = '1'",,,,,,
outcome_illegal_other_3,data_extraction_form,,text,"What other illegal drug behaviors or harms?",,,,,,,"[outcome_illegal(997)] = '1'",,,,,,
impact_idu,data_extraction_form,,checkbox,"What is the impact of the policy on injection drug use?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_illegal(1)] = '1'",,,,,,
impact_dui,data_extraction_form,,checkbox,"What is the impact of the policy on drug-use related injuries?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_illegal(2)] = '1'",,,,,,
impact_dui_2,data_extraction_form,,checkbox,"What is the impact of the other policy on drug-use behaviors or harms?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_illegal(999)] = '1'",,,,,,
impact_health,data_extraction_form,,checkbox,"What is the impact of the policy on Health and social services system costs?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_type(8)] = '1'",,,,,,
impact_non_pres_avail_2,data_extraction_form,,checkbox,"Specify the specific impact on non-prescription drug availability / use? ","1, Non-prescription drug availability | 2, Non-prescription drug use",,,,,,"[outcome_type(10)] = '1'",,,,,,
impact_otc,data_extraction_form,,checkbox,"What is the impact of the policy on non-prescription drug use / availability?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_type(10)] = '1'",,,,,,
outcome_other,data_extraction_form,,text,"What other outcome(s)?",,,,,,,"[outcome_type(999)] = '1'",,,,,,
impact_other,data_extraction_form,,checkbox,"What is the impact of the policy on the other outcome(s)?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_type(999)] = '1'",,,,,,
outcome_other_2,data_extraction_form,,text,"What other outcome(s)?",,,,,,,"[outcome_type(998)] = '1'",,,,,,
impact_other_2,data_extraction_form,,checkbox,"What is the impact of the policy on the other outcome(s)?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_type(998)] = '1'",,,,,,
outcome_other_3,data_extraction_form,,text,"What other outcome(s)?",,,,,,,"[outcome_type(997)] = '1'",,,,,,
impact_other_3,data_extraction_form,,checkbox,"What is the impact of the policy on the other outcome(s)?
","0, No change | 1, Increase | 2, Decrease | 3, Beneficial | 4, Detrimental | 999, Unclear impact",,,,,,"[outcome_type(997)] = '1'",,,,,,
comments,data_extraction_form,,notes,"Any other comments?",,,,,,,,,,,,,
reminder,data_extraction_form,,descriptive,"<b>Reminder to set form status to ""Unverified"" so Mina knows to check data extraction!</b>",,,,,,,,,,,,,
